,Rugose (biofilm),,,,,,,,,RΔrbmA,,,,,,,,,RΔbap1,,,,,,,,RΔrbmC,,,,,,,RΔABC (no biofilm),,,,,,,
Time [h],Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,Without nanoparticles,,,,"CS-AgNPS 0.11µg/ml
CS 0.22 μg/ml",,,
9.75,0.031,0.029,0.028,0.039,0.001,0.001,0.001,0,,0.017,0.065,0.059,0.066,0.0015,0.0014,0.002,0.0046,,0.043,0.034,0.042,-0.0024,-0.0007,-0.0023,0.0016,,0.024,0.04,0.037,0.0016,0.0022,0.001,,0.078,0.064,0.086,0.111,0.0011,0.0028,0.0019,0.0024
10,0.034,0.035,0.03,0.04,0.001,0.001,0.001,0,,0.015,0.071,0.063,0.072,0.0015,0.0017,0.0022,0.0048,,0.047,0.037,0.047,-0.0025,-0.0007,-0.0022,0.0018,,0.025,0.043,0.04,0.0017,0.0021,0.001,,0.084,0.069,0.092,0.116,0.001,0.0029,0.0019,0.0023
10.25,0.036,0.037,0.037,0.047,0.001,0.001,0.001,0,,0.018,0.079,0.071,0.078,0.0017,0.0016,0.0021,0.005,,0.05,0.039,0.05,-0.0023,-0.0006,-0.0022,0.0018,,0.027,0.046,0.045,0.0016,0.0022,0.001,,0.09,0.075,0.098,0.122,0.0012,0.003,0.002,0.0023
10.5,0.039,0.038,0.045,0.053,0.001,0.001,0.001,0,,0.021,0.087,0.079,0.086,0.0016,0.0014,0.002,0.0051,,0.055,0.042,0.055,-0.0024,-0.0006,-0.0022,0.0018,,0.031,0.048,0.047,0.0016,0.0023,0.001,,0.097,0.08,0.104,0.127,0.0012,0.0031,0.002,0.0024
10.75,0.042,0.041,0.051,0.061,0.001,0.001,0.001,0,,0.023,0.098,0.087,0.093,0.0017,0.0018,0.0023,0.0053,,0.059,0.044,0.06,-0.0023,-0.0005,-0.0021,0.0019,,0.033,0.052,0.051,0.0018,0.0024,0.001,,0.103,0.086,0.109,0.131,0.0011,0.0032,0.0021,0.0024
11,0.045,0.044,0.057,0.068,0.001,0.001,0.001,0,,0.024,0.108,0.099,0.1,0.0016,0.0015,0.0023,0.0054,,0.065,0.049,0.065,-0.0023,-0.0004,-0.0021,0.0019,,0.036,0.055,0.057,0.0019,0.0024,0.001,,0.109,0.092,0.115,0.134,0.0012,0.0033,0.0021,0.0024
11.25,0.048,0.046,0.066,0.073,0.001,0.001,0.001,0,,0.026,0.12,0.11,0.104,0.0017,0.0015,0.0024,0.0056,,0.071,0.05,0.07,-0.0023,-0.0004,-0.0021,0.0018,,0.039,0.059,0.061,0.0018,0.0024,0.001,,0.114,0.098,0.121,0.14,0.0011,0.0034,0.0022,0.0025
11.5,0.051,0.05,0.07,0.082,0.001,0.001,0.001,0,,0.031,0.125,0.111,0.112,0.0017,0.0015,0.0023,0.0057,,0.076,0.056,0.075,-0.0023,-0.0004,-0.0021,0.0019,,0.042,0.063,0.068,0.0018,0.0024,0.001,,0.119,0.103,0.125,0.143,0.0012,0.0035,0.0023,0.0025
11.75,0.053,0.052,0.077,0.092,0.001,0.001,0.001,0,,0.034,0.132,0.119,0.118,0.0018,0.0016,0.0023,0.0057,,0.08,0.06,0.08,-0.0023,-0.0004,-0.002,0.0019,,0.045,0.068,0.071,0.0019,0.0025,0.001,,0.125,0.109,0.129,0.146,0.0012,0.0036,0.0023,0.0027
12,0.056,0.056,0.087,0.095,0.001,0.001,0.001,0,,0.038,0.143,0.128,0.127,0.0019,0.0017,0.0027,0.0062,,0.085,0.065,0.086,-0.0023,-0.0003,-0.002,0.0021,,0.047,0.073,0.077,0.002,0.0026,0.001,,0.133,0.113,0.133,0.149,0.0013,0.0037,0.0024,0.0026
12.25,0.057,0.056,0.092,0.104,0.001,0.001,0.001,0,,0.04,0.152,0.133,0.131,0.0019,0.0017,0.0025,0.0061,,0.091,0.069,0.093,-0.0023,-0.0003,-0.002,0.002,,0.052,0.076,0.08,0.002,0.0026,0.001,,0.139,0.117,0.136,0.153,0.0011,0.0038,0.0024,0.0027
12.5,0.059,0.063,0.099,0.114,0.001,0.001,0.001,0,,0.046,0.168,0.15,0.143,0.002,0.0015,0.0027,0.0064,,0.101,0.072,0.102,-0.0022,-0.0002,-0.0021,0.0022,,0.056,0.08,0.087,0.0018,0.0026,0.001,,0.145,0.12,0.14,0.156,0.0012,0.0039,0.0024,0.0028
12.75,0.061,0.064,0.105,0.118,0.001,0.001,0.001,0,,0.05,0.18,0.162,0.156,0.0022,0.0018,0.0028,0.0066,,0.109,0.076,0.111,-0.0021,-0.0001,-0.002,0.0022,,0.06,0.084,0.092,0.0019,0.0027,0.001,,0.15,0.122,0.143,0.159,0.0012,0.004,0.0025,0.0028
13,0.064,0.066,0.111,0.124,0.001,0.001,0.001,0,,0.055,0.196,0.181,0.165,0.0021,0.0018,0.0027,0.0066,,0.118,0.081,0.121,-0.0021,0,-0.0019,0.0023,,0.064,0.09,0.1,0.0021,0.0028,0.001,,0.155,0.125,0.146,0.162,0.0013,0.004,0.0025,0.003
13.25,0.068,0.076,0.12,0.135,0.001,0.001,0.001,0,,0.061,0.207,0.192,0.177,0.0021,0.0018,0.0027,0.0068,,0.132,0.087,0.13,-0.0022,0,-0.002,0.0022,,0.069,0.104,0.11,0.002,0.0027,0.001,,0.159,0.128,0.149,0.164,0.0012,0.0042,0.0025,0.0028
13.5,0.08,0.081,0.127,0.141,0.001,0.001,0.001,0,,0.067,0.227,0.207,0.19,0.0022,0.0017,0.003,0.0071,,0.143,0.118,0.14,-0.0021,0,-0.0019,0.0023,,0.072,0.115,0.118,0.002,0.0028,0.001,,0.163,0.129,0.151,0.17,0.0012,0.0042,0.0026,0.0029
13.75,0.086,0.102,0.134,0.145,0.001,0.001,0.001,0,,0.071,0.25,0.216,0.201,0.0023,0.0018,0.0029,0.0072,,0.153,0.103,0.153,-0.0021,0.0001,-0.0019,0.0023,,0.076,0.127,0.132,0.0021,0.0029,0.001,,0.168,0.132,0.155,0.173,0.0011,0.0042,0.0026,0.0029
14,0.099,0.111,0.139,0.154,0.001,0.001,0.001,0,,0.075,0.269,0.243,0.213,0.0022,0.0018,0.0029,0.0073,,0.167,0.11,0.167,-0.0021,0.0002,-0.0018,0.0023,,0.085,0.136,0.144,0.0022,0.0029,0.001,,0.173,0.135,0.158,0.176,0.0013,0.0044,0.0026,0.0029
14.25,0.105,0.132,0.146,0.158,0.001,0.001,0.001,0,,0.081,0.285,0.26,0.22,0.0022,0.002,0.0031,0.0075,,0.181,0.144,0.178,-0.0021,0.0001,-0.0019,0.0023,,0.093,0.142,0.156,0.002,0.003,0.001,,0.177,0.138,0.161,0.18,0.0012,0.0044,0.0025,0.003
