"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-07","10.07",,"0.00","0.0","0.0","26","32","19","  250","  300","21.9","25.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-08","4.70",,"0.00","0.0","0.0","27","39","16","  360",,"8.1",,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-09","5.37",,"0.04","0.0","0.0","33","41","30","  330","  310","17.0","21.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-10","8.72",,"0.00","0.0","0.0","35","45","24","  250","  260","19.9","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-11","11.63",,"0.00","0.0","0.0","42","56","35","  270","  250","23.9","31.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-12","14.54",,"0.16","0.0","0.0","53","69","43","  270","  280","32.0","40.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-13","11.86",,"0.04","0.0","0.0","45","58","37","   40","   30","21.0","27.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-14","18.79",,"1.15","0.0","0.0","36","38","28","   60","   60","28.0","36.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-15","10.74",,"0.81","0.3","0.0","31","33","29","   80","   60","25.1","33.1","    1",,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-16","12.53",,"0.02","0.0","0.0","33","37","30","  280","  270","23.0","28.0","    1","    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-17","13.65",,"0.03","0.8","1.2","31","36","26","  270","  270","25.1","35.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-18","7.16",,"0.01","0.0","0.0","34","44","29","   60","   50","23.0","28.0","    1",,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-19","11.41",,"0.00","0.0","0.0","39","54","30","  320","  310","23.0","31.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-20","5.37",,"0.00","0.0","0.0","43","58","30","  310","  310","14.1","19.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-21","4.03",,"0.00","0.0","0.0","47","59","35","  200","  190","12.1","14.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-22","6.04",,"0.00","0.0","0.0","49","64","32","  100","  100","16.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-23","8.50",,"0.00","0.0","0.0","54","73","36","  170","  170","18.1","25.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-24","6.71",,"0.07","0.0","0.0","58","63","51","  130","  130","17.0","21.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-25","9.84",,"0.00","0.0","0.0","52","59","40","  350","  340","18.1","23.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-26","3.80",,"0.00","0.0","0.0","48","64","32","  300","  270","14.1","18.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-27","6.04",,"0.00","0.0","0.0","51","62","42","  330","  320","16.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-28","11.63",,"0.00","0.0","0.0","46","54","36","  360","  360","21.0","27.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-29","5.82",,"0.00","0.0","0.0","43","59","26","  290","  280","13.0","17.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-30","7.16",,"0.00","0.0","0.0","53","72","33","  250","  200","18.1","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-01","13.65",,"0.00","0.0","0.0","68","83","55","  240","  240","25.9","32.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-02","14.32",,"0.03","0.0","0.0","74","84","64","  260","  230","30.0","36.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-03","7.61",,"0.57","0.0","0.0","66","72","59","  210","  220","19.9","25.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-04","17.00",,"0.12","0.0","0.0","63","72","55","  250","  250","44.1","53.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-05","8.72",,"0.00","0.0","0.0","65","80","56","  240","  230","17.0","25.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-06","9.17",,"0.00","0.0","0.0","59","66","44","   30","   30","23.0","30.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-07","2.46",,"0.00","0.0","0.0","54","69","39","  170","   60","10.1","14.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-08","8.05",,"0.00","0.0","0.0","63","81","50","  220","  220","17.0","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-09","11.86",,"0.58","0.0","0.0","68","79","53","  240","  230","38.9","63.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-10","12.08",,"0.00","0.0","0.0","63","67","50","  300","  280","21.9","29.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-11","9.40",,"0.60","0.0","0.0","46","50","40","   60","   60","15.0","19.9","    1",,"    1",,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-12","7.16",,"0.39","0.0","0.0","45","55","40","   60","   40","16.1","21.9","    1",,"    1",,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-13","4.25",,"0.33","0.0","0.0","53","64","47","  220","  220","13.0","15.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-14","6.04",,"0.02","0.0","0.0","61","77","51","  270","  260","19.9","27.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-15","5.82",,"0.52","0.0","0.0","66","75","55","   50","  180","15.0","19.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-16","3.13",,"0.00","0.0","0.0","64","79","51","  260","  300","12.1","14.1",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-17","8.50",,"0.00","0.0","0.0","65","73","50","   40","   60","19.9","30.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-18","9.84",,"0.00","0.0","0.0","59","76","45","   80","   70","18.1","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-19","8.72",,"0.50","0.0","0.0","62","70","57","  270","  290","15.0","19.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-20","4.92",,"0.00","0.0","0.0","58","60","49","  360","  360","13.0","16.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-21","6.04",,"0.41","0.0","0.0","54","64","46","  100","  100","16.1","19.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-22","4.25",,"0.00","0.0","0.0","56","63","51","  320","  290","12.1","14.1","    1",,,,,,"    1",
