STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/21/16,6.26,,0,,0,0,39,41,32,,30,40,15,19,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/22/16,8.05,,0,,0,0,33,40,29,,130,130,17,21,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/23/16,6.49,,0,,0,0,34,45,22,,100,110,13,15,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/24/16,19.01,,0.65,,7,0,31,32,28,,10,10,29.1,35.1,1,1,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/25/16,16.55,,0.12,,3.4,9.8,30,34,24,,310,310,25.1,33.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/26/16,8.72,,0,,0,7.9,26,32,18,,270,270,17,21,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/27/16,15.43,,0,,0,7.9,32,44,25,,230,240,25.9,31.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/28/16,16.78,,0.13,,0,5.9,45,56,36,,220,230,25.9,35.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/29/16,16.11,,0,,0,0,38,44,24,,260,270,36,46.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/1/16,13.2,,0.59,,7.2,2,22,24,19,,330,330,23.9,35.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/2/16,9.62,,0,,0,7.1,20,27,11,,260,260,19.9,23.9,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/3/16,3.8,,0.04,,0.7,7.1,19,28,9,,30,40,10.1,12.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/4/16,2.24,,0,,0,7.1,22,34,5,,280,200,8.9,13,1,1,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/5/16,5.37,,0.09,,1,7.9,28,33,24,,140,140,10.1,13,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/6/16,8.28,,0,,0,7.9,27,41,14,,190,190,21,25.1,1,1,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/7/16,10.96,,0,,0,7.1,45,58,41,,210,210,21.9,27.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/8/16,12.08,,0,,0,0,57,70,49,,210,210,25.1,32,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/9/16,10.96,,0,,0,0,62,68,56,,220,220,25.9,33.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/10/16,6.49,,0,,0,0,53,57,41,,310,310,15,19,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/11/16,4.03,,0,,0,0,43,55,31,,170,170,14.1,18.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/12/16,2.46,,0,,0,0,44,59,29,,190,180,10.1,13,1,1,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/13/16,9.17,,1.01,,0,0,47,49,44,,110,110,17,23,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/14/16,7.38,,0.04,,0,0,48,52,45,,270,250,14.1,17,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/15/16,8.05,,0.04,,0,0,48,57,41,,90,190,21,25.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/16/16,21.7,,0.08,,0,0,50,56,46,,240,250,40.9,55.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/17/16,15.88,,0,,0,0,47,50,33,,260,270,33.1,42.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/18/16,5.59,,0,,0,0,37,48,29,,30,40,14.1,18.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/19/16,9.17,,0,,0,0,34,40,25,,40,30,16.1,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/20/16,7.16,,0,,0,0,31,43,22,,270,280,15,19,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/21/16,7.83,,0,,0,0,35,45,27,,270,290,17,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/22/16,7.61,,0,,0,0,43,60,33,,230,220,21,25.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/23/16,12.97,,0.14,,0,0,40,47,33,,60,40,21,25.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/24/16,10.29,,0.64,,0,0,35,39,29,,330,350,18.1,23,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/25/16,6.49,,0,,0,0,32,44,26,,320,320,16.1,21.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/26/16,7.61,,0,,0,0,38,52,26,,150,150,14.1,17,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/27/16,10.07,,0.06,,0,0,48,70,34,,290,200,21,28,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/28/16,12.3,,0.29,,0,0,46,46,34,,310,290,23,32,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/29/16,4.7,,0,,0,0,38,51,29,,140,20,10.1,14.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/30/16,13.42,,0.06,,0,0,45,61,35,,190,190,25.1,34,,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",3/31/16,17.22,,1.17,,0,0,58,63,43,,190,190,32,42.9,1,,1,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/1/16,12.53,,0.01,,0,0,44,49,34,,290,250,21.9,27.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/2/16,10.51,,0.16,,1.7,0,35,38,25,,340,340,23.9,36,1,1,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/3/16,10.96,,0.04,,0,1.2,30,52,20,,190,180,21,27.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/4/16,11.63,,0,,0,0,33,33,24,,30,340,21.9,28,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/5/16,6.71,,0.01,,0,0,29,42,19,,130,130,21.9,29.1,,,,1,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/6/16,12.53,824,0.06,,0,0,38,47,32,,150,150,21.9,28,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/7/16,10.74,,0.18,,0.2,0,37,39,31,,310,320,21.9,29.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/8/16,7.83,,0.25,,4.7,0,32,40,26,,40,40,21.9,27.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/9/16,9.4,,0.02,,0.2,3.9,28,32,23,,20,20,21,29.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/10/16,13.87,,0.57,,0.7,0,30,41,27,,160,160,25.1,31.1,1,,,1,,1,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/11/16,13.2,,0.03,,0,0,44,53,34,,290,300,29.1,36.9,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/12/16,7.16,,0,,0,0,38,47,30,,350,320,17,21.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/13/16,6.93,,0,,0,0,41,53,29,,140,150,15,18.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/14/16,6.49,,0,,0,0,45,60,31,,90,100,15,19,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/15/16,5.59,,0,,0,0,50,70,33,,140,120,15,19.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/16/16,6.04,,0,,0,0,59,76,40,,120,160,13,19,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/17/16,2.91,,0,,0,0,62,78,41,,110,110,8.9,12.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/18/16,7.16,,0,,0,0,66,81,50,,50,50,18.1,25.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/19/16,10.07,,0.01,,0,0,54,62,43,,50,40,18.1,25.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/20/16,10.07,,0,,0,0,55,68,45,,130,140,19.9,25.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/21/16,6.93,,0.25,,0,0,56,62,48,,200,200,16.1,21.9,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/22/16,8.28,,0,,0,0,54,57,41,,40,20,15,18.1,1,1,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/23/16,5.82,,0,,0,0,47,58,34,,40,40,13,19.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/24/16,8.05,,0,,0,0,53,68,40,,140,130,15,19.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/25/16,10.51,,0.2,,0,0,60,79,46,,310,310,28,36.9,1,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/26/16,9.62,,0.02,,0,0,47,51,36,,60,40,18.1,23.9,1,1,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/27/16,10.07,,0,,0,0,44,60,33,,70,60,21,27.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/28/16,9.17,,0.31,,0,0,44,47,38,,70,80,15,19.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/29/16,6.04,,0.02,,0,0,44,51,40,,40,50,14.1,17,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",4/30/16,8.05,,0.43,,0,0,47,56,36,,50,120,16.1,23.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/1/16,10.29,,0.06,,0,0,47,51,43,,70,70,17,21.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/2/16,6.04,,0.37,,0,0,47,55,42,,20,30,16.1,21,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/3/16,6.71,,0.02,,0,0,53,66,36,,250,240,18.1,21.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/4/16,9.62,,0.43,,0,0,53,54,47,,50,60,19.9,27.1,1,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/5/16,8.28,,0,,0,0,52,67,45,,30,30,17,23.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/6/16,2.46,,0,,0,0,57,72,41,,240,250,10.1,14.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/7/16,8.72,,0,,0,0,62,72,47,,330,330,21,28,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/8/16,8.28,,0,,0,0,54,67,37,,270,270,23.9,40,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/9/16,7.16,,0,,0,0,54,67,37,,150,120,16.1,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/10/16,10.74,,0.54,,0,0,52,54,48,,110,110,23.9,29.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/11/16,5.59,,0,,0,0,56,68,49,,100,90,13,17,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/12/16,8.95,,0.62,,0,0,64,73,56,,290,280,19.9,25.1,1,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/13/16,12.3,,0.05,,0,0,58,64,50,,270,260,23.9,32,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/14/16,13.87,,0.56,,0,0,47,50,39,,300,300,25.9,36,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/15/16,10.96,,0,,0,0,40,48,33,,300,290,23.9,32,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/16/16,13.42,,0.01,,0,0,50,68,38,,260,110,25.9,36.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/17/16,7.38,,0,,0,0,56,64,45,,40,30,13,17,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/18/16,5.82,,0,,0,0,53,66,38,,30,40,16.1,21.9,,,,,,,,
