"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-26","5.37",,"0.04","0.8","2.0","15","20","12","   80","   70","12.1","14.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-27","5.37",,"0.23","2.2","3.9","18","22","16","  300","   90","13.0","16.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-28","2.91",,"0.00","0.0","3.9","21","29","12","  250","  250","13.0","14.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-01","1.12",,"0.00","0.0","3.1","22","35","9","   30","  360","6.9","8.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-02","5.14",,"0.02",,"2.0","29","31","20","  300","  310","15.0","19.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-03","6.71",,"0.00","0.0","2.0","20","25","8","  300","  320","16.1","19.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-04","11.86",,"0.01",,"1.2","11","14","7","  260","  250","25.1","31.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-05","13.87",,"0.03","0.3","1.2","11","18","8","  270","  270","25.1","35.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-06","9.17",,"0.00","0.0","2.0","13","21","4","  250","  250","21.9","25.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-07","4.70",,"0.00","0.3","2.0","20","25","11","  270","  330","12.1","16.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-08","2.01",,"0.00","0.0","2.0","22","39","8","  160","  180","10.1","12.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-09","13.42",,"0.37","0.0","1.2","29","39","19","  110","  100","28.0","38.0","    1",,,,,"    1","    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-10","22.82",,"0.04","0.0","1.2","37","44","33","  250","  250","36.0","48.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-11","15.21",,"0.00","0.0","0.0","32","35","25","  260","  260","25.1","31.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-12","6.49",,"0.00","0.0","0.0","31","46","20","  240","  240","14.1","17.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-13","10.07",,"0.10","0.0","0.0","40","53","36","  170","  150","16.1","21.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-14","17.90",,"0.45","0.0","0.0","52","62","42","  160","  150","31.1","40.9","    1",,"    1",,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-15","17.22",,"0.05","0.0","0.0","41","42","31","  240","  240","29.1","38.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-16","10.96",,"0.00","0.0","0.0","32","36","23","  280","  270","23.0","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-17","3.80",,"0.00","0.0","0.0","27","38","17","  200","  190","13.0","16.1","    1",,,,,,"    1",
